origin,horizon,source_index,target_index,method,window_length,ridge,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
0,4,199,203,local_bwar,24.0,0.1,0.08327575281910476,9.100139405026132e-10,1.0,0.0
0,4,200,204,local_bwar,24.0,0.1,0.0833715681692608,9.974245441608353e-10,1.0,0.0
0,4,201,205,local_bwar,24.0,0.1,0.08379629439040515,9.77795486644746e-10,1.0,0.0
0,4,202,206,local_bwar,24.0,0.1,0.08605798450274658,8.886634028325199e-11,1.0,0.0
0,4,203,207,local_bwar,24.0,0.1,0.08232186950349368,9.515380083546373e-11,1.0,0.0
0,4,204,208,local_bwar,24.0,0.1,0.08572261592490903,9.849618838825432e-10,1.0,0.0
0,4,205,209,local_bwar,24.0,0.1,0.09765407263597484,7.61351786648465e-10,1.0,0.0
0,4,206,210,local_bwar,24.0,0.1,0.1056361544645729,6.563319330738443e-10,1.0,0.0
0,4,207,211,local_bwar,24.0,0.1,0.10778860970690993,3.2187406401785714e-10,1.0,0.0
0,4,208,212,local_bwar,24.0,0.1,0.10941188138156772,1.5478732501733475e-10,1.0,0.0
0,4,209,213,local_bwar,24.0,0.1,0.09602500883906664,6.094862659626756e-11,1.0,0.0
0,4,210,214,local_bwar,24.0,0.1,0.10338658503338714,8.857168874880913e-10,1.0,0.0
0,4,211,215,local_bwar,24.0,0.1,0.11424103238319963,8.809116365861258e-10,1.0,0.0
0,4,212,216,local_bwar,24.0,0.1,0.1242953348682471,8.811005194716779e-10,1.0,0.0
0,4,213,217,local_bwar,24.0,0.1,0.1270865533907718,8.536607723974579e-10,1.0,0.0
0,4,214,218,local_bwar,24.0,0.1,0.11590631458669401,9.081238590359876e-10,1.0,0.0
0,4,215,219,local_bwar,24.0,0.1,0.1277430522415561,9.248441330489828e-10,1.0,0.0
0,4,216,220,local_bwar,24.0,0.1,0.12004984488370113,8.84330266182373e-10,1.0,0.0
0,4,217,221,local_bwar,24.0,0.1,0.10657557585651502,9.003097641144808e-10,1.0,0.0
0,4,218,222,local_bwar,24.0,0.1,0.11080267767071328,9.960517040499352e-10,1.0,0.0
0,4,219,223,local_bwar,24.0,0.1,0.12863794905252715,9.92968320235356e-10,1.0,0.0
0,5,176,181,local_bwar,24.0,0.1,0.09591813088402014,4.7148366877900284e-11,1.0,0.0
0,5,177,182,local_bwar,24.0,0.1,0.09663880078115011,5.4219547916106385e-11,1.0,0.0
0,5,178,183,local_bwar,24.0,0.1,0.09599978228839223,5.468124700803897e-11,1.0,0.0
0,5,179,184,local_bwar,24.0,0.1,0.09181843750050421,9.739157678321313e-10,1.0,0.0
0,5,180,185,local_bwar,24.0,0.1,0.08823753064722424,9.156377426307832e-10,1.0,0.0
0,5,181,186,local_bwar,24.0,0.1,0.08418144883330078,9.606182869187867e-10,1.0,0.0
0,5,182,187,local_bwar,24.0,0.1,0.08365299354530571,4.540174321174041e-11,1.0,0.0
0,5,183,188,local_bwar,24.0,0.1,0.09073625709007947,7.03769051433883e-11,1.0,0.0
0,5,184,189,local_bwar,24.0,0.1,0.08254501189732416,1.6890097184843776e-10,1.0,0.0
0,5,185,190,local_bwar,24.0,0.1,0.08310145684909244,3.3961041573034585e-10,1.0,0.0
0,5,186,191,local_bwar,24.0,0.1,0.07997371809712221,5.663169327523186e-10,1.0,0.0
0,5,187,192,local_bwar,24.0,0.1,0.08469072029187825,5.82168564957197e-10,1.0,0.0
0,5,188,193,local_bwar,24.0,0.1,0.07774196782918472,7.312239710168073e-10,1.0,0.0
0,5,189,194,local_bwar,24.0,0.1,0.08097936721897338,8.731063394404038e-10,1.0,0.0
0,5,190,195,local_bwar,24.0,0.1,0.08226071130032003,7.850768970677918e-10,1.0,0.0
0,5,191,196,local_bwar,24.0,0.1,0.08678650917949206,7.559820781063786e-10,1.0,0.0
0,5,192,197,local_bwar,24.0,0.1,0.09043006936403762,7.765616868295323e-10,1.0,0.0
0,5,193,198,local_bwar,24.0,0.1,0.0939114676677154,7.724068707450165e-10,1.0,0.0
0,5,194,199,local_bwar,24.0,0.1,0.08754576214489448,8.517283026958661e-10,1.0,0.0
0,5,195,200,local_bwar,24.0,0.1,0.08538785466160077,9.413343072904368e-10,1.0,0.0
0,5,196,201,local_bwar,24.0,0.1,0.08585829855691152,9.679365609318891e-10,1.0,0.0
0,5,197,202,local_bwar,24.0,0.1,0.08526956109604034,8.708066523427746e-10,1.0,0.0
