origin,fit_end,val_end,test_end,horizon,source_index,target_index,method,window_length,ridge,raw_rmse,w2,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
3,256,310,353,5,314,319,local_bwar,24.0,0.1,0.2469442074963908,8.387546351046886,0.07498408763648233,9.079233387323666e-11,1.0,0.0
3,256,310,353,5,314,319,log_euclidean_gaussian_ar,310.0,0.01,0.243121157987279,6.826155170635369,0.05696359267477116,,,
3,256,310,353,5,314,319,persistence,,,0.2638568005615,10.903167218117163,0.015075310866249008,,,
3,256,310,353,5,314,319,raw_var_window_ar,72.0,10.0,0.35301057042729755,35.321058826851164,9.999999999997433e-09,,,
3,256,310,353,5,315,320,cholesky_gaussian_ar,310.0,0.01,0.18299034514087775,5.911305281343159,0.04832848341653963,,,
3,256,310,353,5,315,320,euclidean_gaussian_ar,310.0,0.1,0.19667879306923763,8.731617774485962,0.036819269671403504,,,
3,256,310,353,5,315,320,fixed_bwar,310.0,0.01,0.2466158298049374,7.236674214827513,0.06549251191453569,,,
3,256,310,353,5,315,320,local_bwar,24.0,0.1,0.2902479537628782,9.778435025931849,0.06966332978425821,7.625475802975148e-11,1.0,0.0
3,256,310,353,5,315,320,log_euclidean_gaussian_ar,310.0,0.01,0.30017318578656305,6.582518183362085,0.04377489695719448,,,
3,256,310,353,5,315,320,persistence,,,0.423246311440138,20.28707758666077,0.016661643283613276,,,
3,256,310,353,5,315,320,raw_var_window_ar,72.0,10.0,0.40577273776029726,33.15205762646476,9.999999999980831e-09,,,
3,256,310,353,5,316,321,cholesky_gaussian_ar,310.0,0.01,0.22465094164670932,7.847422994891652,0.04067082786518427,,,
3,256,310,353,5,316,321,euclidean_gaussian_ar,310.0,0.1,0.19331506702437323,6.655304918017357,0.11966457551980883,,,
3,256,310,353,5,316,321,fixed_bwar,310.0,0.01,0.21574759645210836,6.476250432251052,0.06737145072574449,,,
3,256,310,353,5,316,321,local_bwar,24.0,0.1,0.15941096534029736,4.990422497759891,0.07148107105166458,8.552430852817775e-11,1.0,0.0
3,256,310,353,5,316,321,log_euclidean_gaussian_ar,310.0,0.01,0.2565006330649842,8.782923790785263,0.0384621618832626,,,
3,256,310,353,5,316,321,persistence,,,0.24592233633229474,11.13252763646392,0.010257468023155641,,,
3,256,310,353,5,316,321,raw_var_window_ar,72.0,10.0,0.3750025670307186,45.17924578902569,9.999999999993239e-09,,,
3,256,310,353,5,317,322,cholesky_gaussian_ar,310.0,0.01,0.34744434570395677,10.46637500157751,0.05051925156162092,,,
3,256,310,353,5,317,322,euclidean_gaussian_ar,310.0,0.1,0.3320142734990122,13.225032057046466,0.14488161737906788,,,
3,256,310,353,5,317,322,fixed_bwar,310.0,0.01,0.31866066338769156,9.40478776431955,0.07447753756740018,,,
3,256,310,353,5,317,322,local_bwar,24.0,0.1,0.25115297827839445,6.336942202166226,0.07842091985202888,1.066303481525356e-10,1.0,0.0
3,256,310,353,5,317,322,log_euclidean_gaussian_ar,310.0,0.01,0.3836234472408235,9.675229661338186,0.051047251019335604,,,
3,256,310,353,5,317,322,persistence,,,0.14256400423134247,4.774429209433278,0.011135548153365024,,,
3,256,310,353,5,317,322,raw_var_window_ar,72.0,10.0,0.4856844232368747,44.73508409119007,9.999999999997487e-09,,,
3,256,310,353,5,318,323,cholesky_gaussian_ar,310.0,0.01,0.27032521007967886,6.429731650520893,0.048277709342223175,,,
3,256,310,353,5,318,323,euclidean_gaussian_ar,310.0,0.1,0.3201791669483346,12.272434587012935,0.16239177189204682,,,
3,256,310,353,5,318,323,fixed_bwar,310.0,0.01,0.2815417706783968,7.01009772741223,0.09421665248777644,,,
3,256,310,353,5,318,323,local_bwar,24.0,0.1,0.30850697700142155,7.268562770082996,0.08546649620002829,1.0795151588659401e-10,1.0,0.0
3,256,310,353,5,318,323,log_euclidean_gaussian_ar,310.0,0.01,0.3686994830383694,8.570118596567884,0.047382391047369576,,,
3,256,310,353,5,318,323,persistence,,,0.28118498427515043,8.69009109332494,0.023955743248483125,,,
3,256,310,353,5,318,323,raw_var_window_ar,72.0,10.0,0.5057307300943904,44.1291230111262,9.999999999994324e-09,,,
3,256,310,353,5,319,324,cholesky_gaussian_ar,310.0,0.01,0.4635058493141558,13.543011669822093,0.07139755844799384,,,
3,256,310,353,5,319,324,euclidean_gaussian_ar,310.0,0.1,0.36499273395036635,14.576644189212084,1.0000000272290186e-08,,,
3,256,310,353,5,319,324,fixed_bwar,310.0,0.01,0.421325893803274,12.878682771999868,0.09468929335821982,,,
3,256,310,353,5,319,324,local_bwar,24.0,0.1,0.4136335641604902,11.885328217738767,0.08971873342443505,1.0487668251399394e-10,1.0,0.0
3,256,310,353,5,319,324,log_euclidean_gaussian_ar,310.0,0.01,0.6256637515347645,16.674111306362185,0.07016861017952708,,,
3,256,310,353,5,319,324,persistence,,,0.4243620928659069,15.713891167847418,0.022770136688728432,,,
3,256,310,353,5,319,324,raw_var_window_ar,72.0,10.0,0.5607389187609874,32.08973481478036,9.999999999984934e-09,,,
3,256,310,353,5,320,325,cholesky_gaussian_ar,310.0,0.01,0.45508196935022,12.973214290994708,0.07222215844813304,,,
3,256,310,353,5,320,325,euclidean_gaussian_ar,310.0,0.1,0.33321436984247593,14.159870107786707,9.999999717180685e-09,,,
3,256,310,353,5,320,325,fixed_bwar,310.0,0.01,0.36870470072941447,10.47542661600577,0.08294639419400837,,,
3,256,310,353,5,320,325,local_bwar,24.0,0.1,0.42363724767239347,12.611376363493882,0.07699922713302414,1.2372683937266543e-10,1.0,0.0
3,256,310,353,5,320,325,log_euclidean_gaussian_ar,310.0,0.01,0.4601131044813996,9.691703789689797,0.05414718844921005,,,
3,256,310,353,5,320,325,persistence,,,0.298575009645311,9.939617434108865,0.023326799014934917,,,
3,256,310,353,5,320,325,raw_var_window_ar,72.0,10.0,0.5669742173619546,26.719585804779776,9.999999999979676e-09,,,
3,256,310,353,5,321,326,cholesky_gaussian_ar,310.0,0.01,0.3915530710217434,11.991953959216954,0.07438480903493666,,,
3,256,310,353,5,321,326,euclidean_gaussian_ar,310.0,0.1,0.3680463071600508,16.944984927950713,0.03802561287645989,,,
3,256,310,353,5,321,326,fixed_bwar,310.0,0.01,0.3680808273986046,11.694563685830357,0.07564820357043821,,,
3,256,310,353,5,321,326,local_bwar,24.0,0.1,0.3790446129311873,11.801970439866874,0.0715377247915889,1.3818488859963942e-10,1.0,0.0
3,256,310,353,5,321,326,log_euclidean_gaussian_ar,310.0,0.01,0.43518537605515856,11.667675414916204,0.059242337111026715,,,
3,256,310,353,5,321,326,persistence,,,0.342056096659031,14.413371083978358,0.020305372337275925,,,
3,256,310,353,5,321,326,raw_var_window_ar,72.0,10.0,0.5195892047415632,25.32578332307397,9.999999999994135e-09,,,
3,256,310,353,5,322,327,cholesky_gaussian_ar,310.0,0.01,0.32209818606349644,8.128640684964157,0.03544101911124467,,,
3,256,310,353,5,322,327,euclidean_gaussian_ar,310.0,0.1,0.32679006367250046,13.949669447541773,0.08731961618770581,,,
3,256,310,353,5,322,327,fixed_bwar,310.0,0.01,0.33383338320232997,9.418356104446076,0.06339130287677401,,,
3,256,310,353,5,322,327,local_bwar,24.0,0.1,0.40512621032149976,12.260661381756293,0.06614229659361998,1.6390902965732823e-10,1.0,0.0
3,256,310,353,5,322,327,log_euclidean_gaussian_ar,310.0,0.01,0.4022092171536653,9.030456283911512,0.047419101624985416,,,
3,256,310,353,5,322,327,persistence,,,0.44422873297113014,16.98458418641391,0.01000612593567839,,,
3,256,310,353,5,322,327,raw_var_window_ar,72.0,10.0,0.5297286227145898,25.376976335852987,9.999999999992627e-09,,,
3,256,310,353,5,323,328,cholesky_gaussian_ar,310.0,0.01,0.3828420752347267,9.908518394917373,0.038086838593127885,,,
3,256,310,353,5,323,328,euclidean_gaussian_ar,310.0,0.1,0.35693383471244416,15.105329876842653,0.08008332102876671,,,
3,256,310,353,5,323,328,fixed_bwar,310.0,0.01,0.352906121534994,9.809708263163774,0.05931538111751923,,,
3,256,310,353,5,323,328,local_bwar,24.0,0.1,0.4415198755728313,13.534147616806006,0.07016796443286655,1.9255834304995528e-10,1.0,0.0
3,256,310,353,5,323,328,log_euclidean_gaussian_ar,310.0,0.01,0.4651155978771237,11.642933404653348,0.03963465301771734,,,
3,256,310,353,5,323,328,persistence,,,0.34801734414290386,13.030158011641074,0.007454039262280449,,,
3,256,310,353,5,323,328,raw_var_window_ar,72.0,10.0,0.5734376133217838,26.217376118944564,9.999999999992443e-09,,,
3,256,310,353,5,324,329,cholesky_gaussian_ar,310.0,0.01,0.37314746009848954,8.973400810837099,0.028805056985741498,,,
3,256,310,353,5,324,329,euclidean_gaussian_ar,310.0,0.1,0.2761119318686701,10.918530376251889,0.12850737248340247,,,
3,256,310,353,5,324,329,fixed_bwar,310.0,0.01,0.2859176799911427,6.871336189485805,0.06366874298750548,,,
3,256,310,353,5,324,329,local_bwar,24.0,0.1,0.45479573191416334,14.57538356391552,0.06974296451641833,2.256410352561337e-10,1.0,0.0
3,256,310,353,5,324,329,log_euclidean_gaussian_ar,310.0,0.01,0.40830386593664536,7.6560382363348465,0.04153293951683785,,,
3,256,310,353,5,324,329,persistence,,,0.21577164044056582,5.973313161985289,0.010171794291932454,,,
3,256,310,353,5,324,329,raw_var_window_ar,72.0,10.0,0.6076503880665663,25.814549872829893,9.999999999991699e-09,,,
3,256,310,353,5,325,330,cholesky_gaussian_ar,310.0,0.01,0.5179450207633982,14.815344799215783,0.028011382354653933,,,
3,256,310,353,5,325,330,euclidean_gaussian_ar,310.0,0.1,0.3713541476992959,14.27120878623711,0.15271751669750996,,,
3,256,310,353,5,325,330,fixed_bwar,310.0,0.01,0.3949956575112201,10.708432258515558,0.07395802197676003,,,
3,256,310,353,5,325,330,local_bwar,24.0,0.1,0.5465190452438403,18.83365560363513,0.0663240467153747,2.621687740395764e-10,1.0,0.0
3,256,310,353,5,325,330,log_euclidean_gaussian_ar,310.0,0.01,0.5367394144243274,11.454422626173034,0.03644424220267535,,,
3,256,310,353,5,325,330,persistence,,,0.2518387779815428,6.337808590473896,0.011110502029396651,,,
3,256,310,353,5,325,330,raw_var_window_ar,72.0,10.0,0.7435466882779065,26.180199897011434,9.99999999997532e-09,,,
3,256,310,353,5,326,331,cholesky_gaussian_ar,310.0,0.01,0.6358994018106138,22.861814121937194,0.026625787756579603,,,
3,256,310,353,5,326,331,euclidean_gaussian_ar,310.0,0.1,0.5070650983188278,23.34650816960574,0.15670751537075656,,,
3,256,310,353,5,326,331,fixed_bwar,310.0,0.01,0.5501667799423516,19.88598463500354,0.07009977643917216,,,
